YEAR,ROUTE,WATERS,MUNIT,FISHERY,MONTH,DATE,SITE,SPECIES,CLIP,CLIPPED,LENGTH,WEIGHT
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,May,2014-05-18,204-2nd Landing,Brown Trout,Adipose,Clip,15.6,650
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,May,2014-05-18,204-2nd Landing,Brown Trout,Native,No Clip,19,1148
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,May,2014-05-18,204-2nd Landing,Brown Trout,Adipose,Clip,23.4,2094
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,May,2014-05-18,204-2nd Landing,Brown Trout,Adipose,Clip,20.3,1390
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,May,2014-05-18,204-2nd Landing,Brown Trout,Adipose,Clip,21,1533
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,May,2014-05-18,204-2nd Landing,Brown Trout,Adipose,Clip,19.9,1312
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,May,2014-05-18,204-2nd Landing,Brown Trout,Adipose,Clip,19.7,1275
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,May,2014-05-18,204-2nd Landing,Brown Trout,Adipose,Clip,21.5,1640
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,May,2014-05-18,204-2nd Landing,Coho Salmon,Native,No Clip,13.2,
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,May,2014-05-18,204-2nd Landing,Coho Salmon,Native,No Clip,14.1,
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,May,2014-05-18,204-2nd Landing,Coho Salmon,Native,No Clip,13.9,
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,May,2014-05-18,204-2nd Landing,Coho Salmon,Native,No Clip,15.1,
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,May,2014-05-18,204-2nd Landing,Coho Salmon,Native,No Clip,16.1,
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,May,2014-05-18,204-2nd Landing,Coho Salmon,Native,No Clip,14.5,
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,May,2014-05-18,204-2nd Landing,Rainbow Trout,Native,No Clip,13.6,436
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,May,2014-05-18,204-2nd Landing,Coho Salmon,Native,No Clip,15.1,
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,May,2014-05-18,204-2nd Landing,Coho Salmon,Native,No Clip,14.5,
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,May,2014-05-18,204-2nd Landing,Coho Salmon,Native,No Clip,14.8,
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,May,2014-05-18,258-Kreher Park,Coho Salmon,Native,No Clip,14.6,
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,May,2014-05-24,204-2nd Landing,Coho Salmon,Native,No Clip,14.9,
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,May,2014-05-24,204-2nd Landing,Coho Salmon,Native,No Clip,15,
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,May,2014-05-24,204-2nd Landing,Northern Pike,Native,No Clip,33.2,4000
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,May,2014-05-24,204-2nd Landing,Walleye,Native,No Clip,19.2,1151
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,May,2014-05-24,204-2nd Landing,Brown Trout,Native,No Clip,16,700
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,May,2014-05-26,204-2nd Landing,Walleye,Native,No Clip,18.5,1026
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,May,2014-05-26,204-2nd Landing,Walleye,Native,No Clip,17.3,833
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,May,2014-05-30,204-2nd Landing,Coho Salmon,Native,No Clip,15.5,
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,May,2014-05-30,204-2nd Landing,Walleye,Native,No Clip,18.3,992
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,May,2014-05-30,204-2nd Landing,Walleye,Native,No Clip,16.3,693
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,May,2014-05-30,204-2nd Landing,Walleye,Native,No Clip,17.8,910
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,May,2014-05-30,204-2nd Landing,Walleye,Native,No Clip,15.1,547
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,May,2014-05-30,204-2nd Landing,Walleye,Native,No Clip,16.1,667
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,May,2014-05-30,204-2nd Landing,Walleye,Native,No Clip,17.8,910
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,May,2014-05-30,204-2nd Landing,Walleye,Native,No Clip,16.8,761
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,May,2014-05-30,204-2nd Landing,Walleye,Native,No Clip,17.5,864
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,May,2014-05-30,204-2nd Landing,Walleye,Native,No Clip,17,789
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,May,2014-05-30,204-2nd Landing,Walleye,Native,No Clip,21.7,1683
